Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
2473,NORBTEAEXP,NORBEN TEA & EXPORTS LIMITED,1981.4230158730159
2474,UMESLTD,USHA MARTIN EDUCATION & SOLUTIONS LIMITED,1939.9687738769835
2475,RITEZONE,RITE ZONE CHEMCON INDIA LIMITED,1917.655252857143
2476,NTL,NEUEON TOWERS LIMITED    ,1886.4132463589742
2477,SHANTI,SHANTI OVERSEAS (INDIA) LIMITED,1796.4043142857142
2478,TCIFINANCE,TCI FINANCE LIMITED,1796.2440192341269
2479,OMKARCHEM,OMKAR SPECIALITY CHEMICALS LIMITED,1792.4275726959454
2480,MPTODAY,MADHYA PRADESH TODAY MEDIA LIMITED,1719.1631746031746
2481,BRIGHT,BRIGHT SOLAR LIMITED     ,1695.43218
2482,TRANSWIND,TRANSWIND INFRASTRUCTURES LIMITED,1633.5759007936508
2483,ORTINGLOBE,ORTIN GLOBAL LIMITED,1620.8381115436516
2484,ARENTERP,RAJDARSHAN INDUSTRIES LIMITED,1613.5876033333334
2485,VCL,VAXTEX COTFAB LIMITED,1585.7210809450553
2486,VIVO,VIVO COLLABORATION SOLUTIONS LIMITED,1579.5840873015873
2487,AMJUMBO,A AND M JUMBO BAGS LIMITED,1475.6875
2488,ALPSINDUS,ALPS INDUSTRIES LIMITED,1456.7607509183672
2489,AMIABLE,AMIABLE LOGISTICS (INDIA) LIMITED,1438.1303682539683
2490,MANAV,MANAV INFRA PROJECTS LIMITED,1435.532873015873
2491,JAKHARIA,JAKHARIA FABRIC LIMITED,1426.4849615476192
2492,DCMFINSERV,DCM FINANCIAL SERVICES LIMITED,1423.808771646825
2493,CREATIVEYE,CREATIVE EYE LIMITED,1422.3368751984128
2494,SABEVENTS,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,1404.4345353373014
2495,SMVD,SMVD POLY PACK LIMITED,1375.1596484126987
2496,BLUECOAST,BLUE COAST HOTELS LIMITED,1356.2941752333338
2497,DRL,DHANUKA REALTY LIMITED,1325.7275655555554
2498,PREMIER,PREMIER LIMITED,1320.9306807272724
2499,NIRAJISPAT,NIRAJ ISPAT INDUSTRIES LIMITED,1268.4990476190476
2500,UNIVAFOODS,UNIVA FOODS LIMITED      ,1246.1896948148149
2501,EUROTEXIND,EUROTEX INDUSTRIES AND EXPORTS LIMITED,1222.6686356785708
2502,FSC,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,1117.649115089041
2503,SETUINFRA,SETUBANDHAN INFRASTRUCTURE LIMITED,1097.7823059266047
2504,ACCORD,ACCORD SYNERGY LIMITED,1059.276888888889
2505,BKMINDST,BKM INDUSTRIES LIMITED   ,1002.3730829545455
2506,CMICABLES,CMI LIMITED              ,768.3681607407409
2507,ITTL,INNOVATIVE TYRES & TUBES LIMITED,701.4285714285714
2508,JALAN,JALAN TRANSOLUTIONS (INDIA) LIMITED,686.2490838095239
2509,LAKPRE,LAKSHMI PRE SCRE LIMITED   ,664.8404605283017
2510,MELSTAR,MELSTAR INFORMATION TECH ,635.88534835
2511,SANCO,SANCO INDUSTRIES LIMITED,628.8121339449541
2512,ORTEL,ORTEL COMMUNICATIONS LIMITED   ,610.75966875
2513,BGLOBAL,BHARATIYA GLOBAL INFO LIMITED   ,543.0079257037037
2514,QUINTEGRA,QUINTEGRA SOLUTIONS LIMITED    ,500.12758474074064
2515,GANGOTRI,GANGOTRI TEXTILES LIMITED   ,411.5483630740741
2516,CMMIPL,CMM INFRAPROJECTS LIMITED,395.99859690476194
2517,VASA,VASA RETAIL AND OVERSEAS LIMITED   ,370.9436009920635
2518,RAJVIR,RAJVIR INDUSTRIES LIMITED,330.9815488888888
2519,ABHISHEK,Abhishek Corporation Limited,Not traded during the period
2520,ABNINT,A B N INTERCORP LIMITED  ,Not traded during the period
2521,AHLWEST,Asian Hotels (West) Limited,Not traded during the period
2522,AIFL,Ashapura Intimates Fashion Limited,Not traded during the period
2523,AJRINFRA,AJR INFRA AND TOLLING LIMITED,Not traded during the period
2524,ALCHEM,Alchemist Limited,Not traded during the period
2525,ARCOTECH,Arcotech Limited,Not traded during the period
2526,ARTEDZ,Artedz Fabs Limited,Not traded during the period
2527,ASIL,Amit Spinning Industries Limited,Not traded during the period
2528,ATCOM,Atcom Technologies Limited,Not traded during the period
2529,ATNINTER,ATN International Limited,Not traded during the period
2530,BALLARPUR,Ballarpur Industries Limited,Not traded during the period
2531,BANSAL,Bansal Multiflex Limited,Not traded during the period
2532,BDR,BDR BUILDCON LIMITED     ,Not traded during the period
2533,BHALCHANDR,BHALCHANDRAM CLOTHING LIMITED   ,Not traded during the period
2534,BHARATIDIL,Bharati Defence and Infrastructure Limited,Not traded during the period
2535,BILENERGY,Bil Energy Systems Limited,Not traded during the period
2536,BLUEBLENDS,Blue Blends (I) Limited,Not traded during the period
2537,BRFL,Bombay Rayon Fashions Limited,Not traded during the period
2538,CANDC,C & C Constructions Limited,Not traded during the period
2539,CKFSL,Cox & Kings Financial Service Limited,Not traded during the period
2540,CURATECH,Cura Technologies Limited,Not traded during the period
2541,DHARSUGAR,Dharani Sugars & Chemicals Limited,Not traded during the period
2542,DQE,DQ Entertainment (International) Limited,Not traded during the period
2543,DRSCARGO,DRS CARGO MOVERS LIMITED ,Not traded during the period
2544,DSKULKARNI,DS Kulkarni Developers Limited,Not traded during the period
2545,EASTSILK,Eastern Silk Industries Limited,Not traded during the period
2546,EASUNREYRL,Easun Reyrolle Limited,Not traded during the period
2547,EON,Eon Electric Limited,Not traded during the period
2548,EUROCERA,Euro Ceramics Limited,Not traded during the period
2549,EUROMULTI,Euro Multivision Limited,Not traded during the period
2550,FEDDERELEC,Fedders Electric and Engineering Limited,Not traded during the period
2551,FIVECORE,Five Core Electronics Limited,Not traded during the period
2552,GBGLOBAL,GB Global Limited,Not traded during the period
2553,GIRRESORTS,GIR NATUREVIEW RESORT LIMITED   ,Not traded during the period
2554,GITANJALI,Gitanjali Gems Limited,Not traded during the period
2555,ICSA,ICSA (India) Limited,Not traded during the period
2556,INDLMETER,IMP Powers Limited,Not traded during the period
2557,INDOSOLAR,Indosolar Limited,Not traded during the period
2558,INDUSFILA,Indus Fila Limited,Not traded during the period
2559,IVRCLINFRA,IVRCL Limited,Not traded during the period
2560,JAINSTUDIO,Jain Studios Limited,Not traded during the period
2561,JBFIND,JBF Industries Limited,Not traded during the period
2562,JPINFRATEC,Jaypee Infratech Limited,Not traded during the period
2563,KALYANI,KALYANI COMMERCIALS LIMITED   ,Not traded during the period
2564,KGL,Karuturi Global Limited,Not traded during the period
2565,KSERASERA,KSS Limited,Not traded during the period
2566,KSK,KSK Energy Ventures Limited,Not traded during the period
2567,KUNDANMM,Kundan Minerals and Metals Limited,Not traded during the period
2568,LAKSHMIEFL,Lakshmi Energy and Foods Limited,Not traded during the period
2569,LEEL,LEEL Electricals Limited,Not traded during the period
2570,MANPASAND,Manpasand Beverages Limited,Not traded during the period
2571,MCDHOLDING,McDowell Holdings Limited,Not traded during the period
2572,MERCATOR,Mercator Limited,Not traded during the period
2573,METALFORGE,Metalyst Forgings Limited,Not traded during the period
2574,METKORE,Metkore Alloys & Industries Limited,Not traded during the period
2575,MVL,MVL Limited,Not traded during the period
2576,NAKODA,Nakoda Limited,Not traded during the period
2577,NITINFIRE,Nitin Fire Protection Industries Limited,Not traded during the period
2578,NUTEK,Nu Tek India Limited,Not traded during the period
2579,OPAL,Opal Luxury Time Products Limited,Not traded during the period
2580,OPTOCIRCUI,Opto Circuits (India) Limited,Not traded during the period
2581,PDPL,Parenteral Drugs (India) Limited,Not traded during the period
2582,PENTAGOLD,Penta Gold Limited,Not traded during the period
2583,PINCON,Pincon Spirit Limited,Not traded during the period
2584,PRATIBHA,Pratibha Industries Limited,Not traded during the period
2585,PUNJLLOYD,Punj Lloyd Limited,Not traded during the period
2586,RAINBOWPAP,Rainbow Papers Limited,Not traded during the period
2587,RELCAPITAL,Reliance Capital Limited,Not traded during the period
2588,RMCL,Radha Madhav Corporation Limited,Not traded during the period
2589,RMMIL,Resurgere Mines & Minerals Limited,Not traded during the period
2590,RNAVAL,Reliance Naval and Engineering Limited,Not traded during the period
2591,RUSHABEAR,Rushabh Precision Bearings Limited,Not traded during the period
2592,SATHAISPAT,Sathavahana Ispat Limited,Not traded during the period
2593,SHAIVAL,Shailval Reality Limited,Not traded during the period
2594,SHIRPUR-G,Shirpur Gold Refinery Limited,Not traded during the period
2595,SIIL,Supreme (India) Impex Limited,Not traded during the period
2596,SKSTEXTILE,SKS Textiles Limited,Not traded during the period
2597,SPENTEX,Spentex Industries Limited,Not traded during the period
2598,SPTL,Sintex Plastics Technology Limited,Not traded during the period
2599,SRIRAM,Shri Ram Switchgears Limited,Not traded during the period
2600,SSINFRA,S.S. Infrastructure Development Consultants Limited,Not traded during the period
2601,TALWALKARS,Talwalkars Better Value Fitness Limited,Not traded during the period
2602,TALWGYM,Talwalkars Healthclubs Limited,Not traded during the period
2603,TECHNOFAB,Technofab Engineering Limited,Not traded during the period
2604,TULSI,Tulsi Extrusions Limited,Not traded during the period
2605,UNIPLY,Uniply Industries Limited,Not traded during the period
2606,UNITY,Unity Infraprojects Limited,Not traded during the period
2607,VALECHAENG,Valecha Engineering Limited,Not traded during the period
2608,VALUEIND,Value Industries Limited,Not traded during the period
2609,VIDEOIND,Videocon Industries Limited,Not traded during the period
2610,VISUINTL,Visu International Limited,Not traded during the period
2611,VIVIMEDLAB,Vivimed Labs Limited,Not traded during the period
2612,ZICOM,Zicom Electronic Security Systems Limited,Not traded during the period
,,,
,,,
"Note: Kindly refer regulation 15 to 27 of SEBI (Listing Obligation and Disclosure Requirments) Regulations, 2015 for determining the applicability of other provisions of Corporate Governance.

* The list includes companies which are either suspended due to Capital Reduction/ALF/IBC/non-compliance etc.",,,
